run,group,set,metric,value
fp32,fp32,en_dev,sim,0.75981012115255
fp32,fp32,en_dev,wer,2.868
fp32,fp32,hard_dev,cer,6.929
fp32,fp32,hard_dev,sim,0.7912526577711105
fp32,fp32,zh_dev,cer,1.452
fp32,fp32,zh_dev,sim,0.8112810188531876
rand32_s0_cs1,seed_repeat,en_dev,sim,0.750190198905766
rand32_s0_cs1,seed_repeat,en_dev,wer,3.03
rand32_s0_cs1,seed_repeat,hard_dev,cer,7.147
rand32_s0_cs1,seed_repeat,hard_dev,sim,0.7904905003309249
rand32_s0_cs1,seed_repeat,zh_dev,cer,1.344
rand32_s0_cs1,seed_repeat,zh_dev,sim,0.806921372016271
rand32_s0_cs2,seed_repeat,en_dev,sim,0.7519060841575265
rand32_s0_cs2,seed_repeat,en_dev,wer,3.183
rand32_s0_cs2,seed_repeat,hard_dev,cer,7.194
rand32_s0_cs2,seed_repeat,hard_dev,sim,0.7857826119661331
rand32_s0_cs2,seed_repeat,zh_dev,cer,1.399
rand32_s0_cs2,seed_repeat,zh_dev,sim,0.8082503805557887
rand32_s0,random_draw,en_dev,sim,0.751000371016562
rand32_s0,random_draw,en_dev,wer,3.422
rand32_s0,random_draw,hard_dev,cer,7.475
rand32_s0,random_draw,hard_dev,sim,0.787243284881115
rand32_s0,random_draw,zh_dev,cer,1.255
rand32_s0,random_draw,zh_dev,sim,0.8087315814693768
rand32_s1,random_draw,en_dev,sim,0.7533273653872311
rand32_s1,random_draw,en_dev,wer,3.257
rand32_s1,random_draw,hard_dev,cer,6.875
rand32_s1,random_draw,hard_dev,sim,0.7903330224752426
rand32_s1,random_draw,zh_dev,cer,1.214
rand32_s1,random_draw,zh_dev,sim,0.8078017954031627
rand32_s2_3.5b,other,en_dev,sim,0.7745873777568341
rand32_s2_3.5b,other,en_dev,wer,2.708
rand32_s2_3.5b,other,hard_dev,cer,6.282
rand32_s2_3.5b,other,hard_dev,sim,0.7965604984760284
rand32_s2,random_draw,en_dev,sim,0.7527976413443684
rand32_s2,random_draw,en_dev,wer,3.074
rand32_s2,random_draw,hard_dev,cer,7.244
rand32_s2,random_draw,hard_dev,sim,0.7880582863092422
rand32_s2,random_draw,zh_dev,cer,1.33
rand32_s2,random_draw,zh_dev,sim,0.8089121083418528
rand32_s3_3.5b,other,en_dev,sim,0.7741804514825344
rand32_s3_3.5b,other,en_dev,wer,2.455
rand32_s3_3.5b,other,hard_dev,cer,6.473
rand32_s3_3.5b,other,hard_dev,sim,0.7949562534689903
rand32_s3_3.5b,other,zh_dev,cer,1.185
rand32_s3_3.5b,other,zh_dev,sim,0.8155211611588796
rand32_s3,random_draw,en_dev,sim,0.7520616784319282
rand32_s3,random_draw,en_dev,wer,3.366
rand32_s3,random_draw,hard_dev,cer,6.991
rand32_s3,random_draw,hard_dev,sim,0.7894119477272034
rand32_s3,random_draw,zh_dev,cer,1.367
rand32_s3,random_draw,zh_dev,sim,0.8078688128789266
rand32_s4,random_draw,en_dev,sim,0.7548185662087054
rand32_s4,random_draw,en_dev,wer,2.985
rand32_s4,random_draw,hard_dev,cer,6.859
rand32_s4,random_draw,hard_dev,sim,0.7892078465223312
rand32_s4,random_draw,zh_dev,cer,1.157
rand32_s4,random_draw,zh_dev,sim,0.8087725766499837
rand32_s5,random_draw,en_dev,sim,0.7484484245255589
rand32_s5,random_draw,en_dev,wer,3.25
rand32_s5,random_draw,hard_dev,cer,7.489
rand32_s5,random_draw,hard_dev,sim,0.7880515375733376
rand32_s5,random_draw,zh_dev,cer,1.372
rand32_s5,random_draw,zh_dev,sim,0.8072108928362528
rand32_s6,random_draw,en_dev,sim,0.7507497029565274
rand32_s6,random_draw,en_dev,wer,2.806
rand32_s6,random_draw,hard_dev,cer,7.426
rand32_s6,random_draw,hard_dev,sim,0.7877770638465882
rand32_s6,random_draw,zh_dev,cer,1.343
rand32_s6,random_draw,zh_dev,sim,0.8072599109013875
rand32_s7,random_draw,en_dev,sim,0.7531100043421611
rand32_s7,random_draw,en_dev,wer,2.806
rand32_s7,random_draw,hard_dev,cer,7.121
rand32_s7,random_draw,hard_dev,sim,0.7904632970690727
rand32_s7,random_draw,zh_dev,cer,1.309
rand32_s7,random_draw,zh_dev,sim,0.8079122493664423
rand32_s8,random_draw,en_dev,sim,0.7520480471104384
rand32_s8,random_draw,en_dev,wer,3.129
rand32_s8,random_draw,hard_dev,cer,6.644
rand32_s8,random_draw,hard_dev,sim,0.7874124041199684
rand32_s8,random_draw,zh_dev,cer,1.335
rand32_s8,random_draw,zh_dev,sim,0.8065575822194417
rand32_s9,random_draw,en_dev,sim,0.7527278681099415
rand32_s9,random_draw,en_dev,wer,3.148
rand32_s9,random_draw,hard_dev,cer,6.853
rand32_s9,random_draw,hard_dev,sim,0.7891069042682648
rand32_s9,random_draw,zh_dev,cer,1.168
rand32_s9,random_draw,zh_dev,sim,0.8096274012327194
